Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
SDP84,,606975.493,4865444.650,1902.683,145,-115.66718370,43.93434998,1902.683,0.201,0.203,0.415,0.286,2.800,m,SINGLE,2023-02-09 13:13:19.8 UTC-07:00,2023-02-09 13:13:20.8 UTC-07:00,6,1.2,,,,,,,,WGS 84 / UTM zone 11N
SDP85,,606973.245,4865445.305,1903.645,150,-115.66721156,43.93435619,1903.645,0.190,0.181,0.378,0.262,2.800,m,SINGLE,2023-02-09 13:14:06.4 UTC-07:00,2023-02-09 13:14:07.4 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP86,,606970.822,4865442.465,1904.741,158,-115.66724232,43.93433098,1904.741,0.190,0.172,0.394,0.256,2.800,m,SINGLE,2023-02-09 13:14:24.4 UTC-07:00,2023-02-09 13:14:25.4 UTC-07:00,6,1.2,,,,,,,,WGS 84 / UTM zone 11N
SDP87,,606968.962,4865440.488,1904.286,184,-115.66726588,43.93431346,1904.286,0.202,0.174,0.386,0.266,2.800,m,SINGLE,2023-02-09 13:14:47.6 UTC-07:00,2023-02-09 13:14:48.6 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP88,,606987.486,4865373.013,1881.985,114,-115.66704872,43.93370341,1881.985,0.379,0.430,0.771,0.573,2.800,m,SINGLE,2023-02-09 13:17:31.4 UTC-07:00,2023-02-09 13:17:32.4 UTC-07:00,6,1.5,,,,,,,,WGS 84 / UTM zone 11N
SDP89,,606924.773,4865308.309,1852.586,154,-115.66784285,43.93313011,1852.586,0.245,0.190,0.497,0.311,2.800,m,SINGLE,2023-02-09 13:21:42.2 UTC-07:00,2023-02-09 13:21:43.2 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP90,,606926.803,4865309.392,1850.527,165,-115.66781735,43.93313957,1850.527,0.267,0.220,0.540,0.346,2.800,m,SINGLE,2023-02-09 13:22:00.4 UTC-07:00,2023-02-09 13:22:01.4 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP91,,606928.944,4865308.970,1852.100,165,-115.66779077,43.93313545,1852.100,0.283,0.222,0.574,0.360,2.800,m,SINGLE,2023-02-09 13:22:17.6 UTC-07:00,2023-02-09 13:22:18.6 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP92,,606929.777,4865307.147,1853.946,159,-115.66778075,43.93311892,1853.946,0.232,0.170,0.462,0.288,2.800,m,SINGLE,2023-02-09 13:22:39.4 UTC-07:00,2023-02-09 13:22:40.4 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP93,,606930.935,4865304.218,1853.857,157,-115.66776693,43.93309239,1853.857,0.282,0.234,0.620,0.366,2.800,m,SINGLE,2023-02-09 13:23:03.0 UTC-07:00,2023-02-09 13:23:04.0 UTC-07:00,6,2.4,,,,,,,,WGS 84 / UTM zone 11N
SDP94,,606940.081,4865293.320,1853.594,156,-115.66765520,43.93299297,1853.594,0.220,0.220,0.542,0.311,2.800,m,SINGLE,2023-02-09 13:25:30.4 UTC-07:00,2023-02-09 13:25:31.4 UTC-07:00,6,1.7,,,,,,,,WGS 84 / UTM zone 11N
SDP95,,606946.964,4865283.531,1849.834,149,-115.66757143,43.93290386,1849.834,0.177,0.148,0.348,0.230,2.800,m,SINGLE,2023-02-09 13:26:22.0 UTC-07:00,2023-02-09 13:26:23.0 UTC-07:00,6,1.5,,,,,,,,WGS 84 / UTM zone 11N
SDP96,,606948.988,4865279.422,1848.417,160,-115.66754705,43.93286657,1848.417,0.182,0.153,0.358,0.238,2.800,m,SINGLE,2023-02-09 13:26:54.0 UTC-07:00,2023-02-09 13:26:55.0 UTC-07:00,6,1.3,,,,,,,,WGS 84 / UTM zone 11N
SDP97,,606950.472,4865280.229,1847.265,145,-115.66752840,43.93287362,1847.265,0.478,0.486,0.949,0.682,2.800,m,SINGLE,2023-02-09 13:27:22.8 UTC-07:00,2023-02-09 13:27:23.8 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP98,,606952.439,4865279.405,1848.427,153,-115.66750406,43.93286592,1848.427,0.183,0.161,0.395,0.244,2.800,m,SINGLE,2023-02-09 13:28:10.6 UTC-07:00,2023-02-09 13:28:11.6 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP99,,606956.053,4865279.092,1847.351,151,-115.66745912,43.93286258,1847.351,0.200,0.161,0.401,0.257,2.800,m,SINGLE,2023-02-09 13:28:41.0 UTC-07:00,2023-02-09 13:28:42.0 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
SDP100,,606955.651,4865281.150,1848.083,155,-115.66746372,43.93288116,1848.083,0.200,0.170,0.400,0.263,2.800,m,SINGLE,2023-02-09 13:28:54.8 UTC-07:00,2023-02-09 13:28:55.8 UTC-07:00,6,1.4,,,,,,,,WGS 84 / UTM zone 11N
SDP101,,606943.198,4865275.988,1855.021,155,-115.66761985,43.93283651,1855.021,0.227,0.251,0.453,0.338,2.800,m,SINGLE,2023-02-09 13:29:45.2 UTC-07:00,2023-02-09 13:29:46.2 UTC-07:00,6,1.6,,,,,,,,WGS 84 / UTM zone 11N
